Query,Graph_Type
"Show the sales trend over the last year","Line Chart"
"Compare the revenue of different products","Bar Chart"
"Display the distribution of ages in the population","Histogram"
"Proportion of different types of customers","Pie Chart"
"Relationship between height and weight","Scatter Plot"
"Monthly sales comparison between two products","Line Chart"
"Sales by region","Bar Chart"
"Top 5 most sold products","Bar Chart"
"Yearly growth percentage","Line Chart"
"Market share of companies","Pie Chart"
"Sales by region","Bar Chart"   
"Top 5 most sold products","Bar Chart"
"Average temperature by month","Line Chart"
"Comparison of stock prices","Line Chart"
"Number of website visitors per day","Line Chart"
"Percentage of students passing exams","Bar Chart"
"Population growth over the years","Line Chart"
"Comparison of car sales by brand","Bar Chart"
"Number of COVID-19 cases by country","Bar Chart"
"Average rainfall by month","Line Chart"
"Comparison of smartphone sales","Bar Chart"
"Number of social media users by platform","Bar Chart"
"Percentage of people with different educational levels","Pie Chart"
"Comparison of crime rates by city","Bar Chart"
"Number of movie tickets sold per month","Line Chart"
"Percentage of people with different blood types","Pie Chart"
"Comparison of energy consumption by country","Bar Chart"
"Number of books sold by genre","Bar Chart"
"Percentage of people with different income levels","Pie Chart"
"Comparison of website traffic by source","Bar Chart"
"Number of flights per day","Line Chart"
"Percentage of people with different job titles","Pie Chart"
"Comparison of housing prices by city","Bar Chart"
"Number of social media posts per day","Line Chart"
"Percentage of people with different political affiliations","Pie Chart"
"Comparison of smartphone usage by age group","Bar Chart"
"Number of online orders per month","Line Chart"
"Percentage of people with different languages spoken","Pie Chart"
"Comparison of GDP by country","Bar Chart"
"Number of gym memberships per year","Line Chart"
"Percentage of people with different marital statuses","Pie Chart"
"Comparison of car accidents by location","Bar Chart"
"Number of video game sales by genre","Bar Chart"
"Percentage of people with different religious beliefs","Pie Chart"
"Comparison of internet speed by provider","Bar Chart"
"Number of job applications per month","Line Chart"
"Percentage of people with different dietary preferences","Pie Chart"
"Comparison of pollution levels by city","Bar Chart"
"Number of online course enrollments per year","Line Chart"
"Percentage of people with different hobbies","Pie Chart"
"Comparison of smartphone battery life by brand","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different travel preferences","Pie Chart"
"Comparison of crime rates by type","Bar Chart"
"Number of podcast downloads per month","Line Chart"
"Percentage of people with different health conditions","Pie Chart"
"Comparison of average commute time by city","Bar Chart"
"Number of app downloads per year","Line Chart"
"Percentage of people with different shopping habits","Pie Chart"
"Comparison of average salary by occupation","Bar Chart"
"Number of online purchases per month","Line Chart"
"Percentage of people with different exercise routines","Pie Chart"
"Comparison of air quality by city","Bar Chart"
"Number of social media likes per post","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of car fuel efficiency by brand","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
"Percentage of people with different movie preferences","Pie Chart"
"Comparison of average income by city","Bar Chart"
"Number of online ticket bookings per month","Line Chart"
"Percentage of people with different pet preferences","Pie Chart"
"Comparison of average temperature by city","Bar Chart"
"Number of online course completions per year","Line Chart"
"Percentage of people with different sports interests","Pie Chart"
"Comparison of average rainfall by region","Bar Chart"
"Number of social media comments per post","Line Chart"
"Percentage of people with different gaming preferences","Pie Chart"
"Comparison of average population density by country","Bar Chart"
"Number of online job applications per month","Line Chart"
"Percentage of people with different cooking habits","Pie Chart"
"Comparison of average pollution levels by city","Bar Chart"
"Number of online music downloads per month","Line Chart"
"Percentage of people with different travel destinations","Pie Chart"
"Comparison of average commute time by transportation mode","Bar Chart"
"Number of social media followers per account","Line Chart"
"Percentage of people with different social media usage","Pie Chart"
"Comparison of average fuel efficiency by car type","Bar Chart"
"Number of website page views per day","Line Chart"
"Percentage of people with different sleeping habits","Pie Chart"
"Comparison of average house prices by neighborhood","Bar Chart"
"Number of online banking transactions per month","Line Chart"
"Percentage of people with different music preferences","Pie Chart"
"Comparison of average age by country","Bar Chart"
"Number of online food orders per week","Line Chart"
"Percentage of people with different clothing styles","Pie Chart"
"Comparison of average life expectancy by gender","Bar Chart"
"Number of social media shares per post","Line Chart"
"Percentage of people with different reading habits","Pie Chart"
"Comparison of average education level by country","Bar Chart"
"Number of online hotel bookings per month","Line Chart"
